position,rank,organisationId,organisationName,domain,eligibilityBasis
50,43723742,ORG-E681F27D399F,TOTE (SUCCESSOR COMPANY) LIMITED,betfred.com,single-verified-uncontested-resolvable-domain
51,44222383,ORG-BCBCEB2E2DD7,Occam Underwriting Limited,occamunderwriting.com,single-verified-uncontested-resolvable-domain
52,44880328,ORG-B3CDF1391697,Stage Capital Management Limited,stagecap.com,single-verified-uncontested-resolvable-domain
53,45202864,ORG-C0EEAA76241E,BORTSTEIN LLP,blegalgroup.com,single-verified-uncontested-resolvable-domain
54,45216304,ORG-E985147B1FC9,C. L. LAW,chris-law.com,single-verified-uncontested-resolvable-domain
55,45369227,ORG-FF8523B1BB17,RAHMAN LOWE LTD,rllaw.co.uk,single-verified-uncontested-resolvable-domain
56,45694809,ORG-7D7022C5D9CA,LEGAL HD LTD,legalhd.co.uk,single-verified-uncontested-resolvable-domain
57,46039432,ORG-AA9EB96A479B,Family Finance Limited,familyfinanceltd.co.uk,single-verified-uncontested-resolvable-domain
58,46841023,ORG-B4AFEE6F4B6F,Kreston Law Limited,krestonsolicitors.com,single-verified-uncontested-resolvable-domain
59,46897131,ORG-E356DECA5B46,WISE INSURANCE SERVICES LIMITED,insurancewise.co.uk,single-verified-uncontested-resolvable-domain
60,46994872,ORG-AC1059E5FF5F,HETHERINGTONS SOLICITORS LIMITED,hetheringtonssolicitors.com,single-verified-uncontested-resolvable-domain
61,47527396,ORG-AC937AF9D719,West Park Investment Partnership Limited,wpip.co.uk,single-verified-uncontested-resolvable-domain
62,47624097,ORG-1D60FAD0C3EB,WestParc Law Limited,westparclaw.co.uk,single-verified-uncontested-resolvable-domain
63,48154837,ORG-C3CC024E471B,KEPLER WOLF LIMITED,keplerwolf.com,single-verified-uncontested-resolvable-domain
64,48407273,ORG-201796132BA5,INVINITIVE FINANCIAL UK LTD.,invinitive.co.uk,single-verified-uncontested-resolvable-domain
65,48467086,ORG-7F5160D59AA7,Kimmeridge Energy Management LTD,kimmeridge.com,single-verified-uncontested-resolvable-domain
66,48515810,ORG-85C0F718830A,Lawfrancis Solicitors LLP,lawfrancis.co.uk,single-verified-uncontested-resolvable-domain
67,48664008,ORG-351209A2FBD7,ANGELS SOLICITORS,angelssolicitors.co.uk,single-verified-uncontested-resolvable-domain
68,48838694,ORG-937026BA8882,BARBARA JACOBS & CO,barbarajacobs.co.uk,single-verified-uncontested-resolvable-domain
69,49549411,ORG-4304BA06945E,Osprey Wealth Management Limited,ospreywealth.co.uk,single-verified-uncontested-resolvable-domain
70,50591459,ORG-FC42616F7D24,DICKSONS SOLICITORS LIMITED,dicksonssolicitors.co.uk,single-verified-uncontested-resolvable-domain
71,51075380,ORG-233F37AB8D47,Markerstudy Insurance Services Limited,markerstudy.com,single-verified-uncontested-resolvable-domain
72,51369693,ORG-C3509CCD39DA,Shemmings Hathaway LLP,shemmings-hathaway.com,single-verified-uncontested-resolvable-domain
73,51818185,ORG-FA0BF33C7419,ASKEWS SOLICITORS LIMITED,askews.com,single-verified-uncontested-resolvable-domain
74,52077784,ORG-B49EDED4C41E,NCP LIMITED,ncp.co.uk,single-verified-uncontested-resolvable-domain
75,52518513,ORG-3FE77501E3C6,WOLTON & CO,woltonlegal.co.uk,single-verified-uncontested-resolvable-domain
76,52595177,ORG-E8C2B2C90D74,Arch Managing Agency Limited,insurance.archgroup.com,single-verified-uncontested-resolvable-domain
77,52802999,ORG-873163082F45,EcoM SOLICITORS,ecomsolicitors.com,single-verified-uncontested-resolvable-domain
78,53212203,ORG-F7FB307DE23B,MARYLEBONE CRICKET CLUB,lords.org.uk,single-verified-uncontested-resolvable-domain
79,53557566,ORG-573F08693DB7,Royal National Institute of Blind People,rnib.org.uk,single-verified-uncontested-resolvable-domain
80,53615835,ORG-F6E90E6EAED5,Benson George Solicitors,bensongeorge-solicitors.co.uk,single-verified-uncontested-resolvable-domain
81,53690107,ORG-174BA812A7D3,ALEXANDRA JAMES - LAWYERS & CONSULTANTS,alexandrajameslaw.co.uk,single-verified-uncontested-resolvable-domain
82,54207251,ORG-CD2EAD189B3E,ActiveQuote Limited,activequote.com,single-verified-uncontested-resolvable-domain
83,54849299,ORG-7850E29330C4,Tarian (Yswiriant) Cyfyngedig,tarianarlein.com,single-verified-uncontested-resolvable-domain
84,55084378,ORG-62C252D5CF31,ALFRED VAUGHAN & CO LIMITED,vaughans.co,single-verified-uncontested-resolvable-domain
85,55217117,ORG-53F5AF682C0D,MT Polo Limited,mtpolo.co.uk,single-verified-uncontested-resolvable-domain
86,55316050,ORG-699F710830AD,Graceon Law Ltd,graceonlaw.co.uk,single-verified-uncontested-resolvable-domain
87,56814772,ORG-174AB8681A63,CANON EUROPE LIMITED,canon-europe.com,single-verified-uncontested-resolvable-domain
88,56922625,ORG-561862838AC4,PILLINGER & ASSOCIATES LIMITED,pillingerandassociates.co.uk,single-verified-uncontested-resolvable-domain
89,57297198,ORG-8FCA2E97ED99,Teledyne UK Limited,e2v.com,single-verified-uncontested-resolvable-domain
90,57344908,ORG-2237B7BF01B6,ALCOTT SOLICITORS LIMITED,alcottsolicitors.com,single-verified-uncontested-resolvable-domain
91,57478799,ORG-42C79D4517C0,THE LAW FIRM GROUP LTD,thelawfirm.group,single-verified-uncontested-resolvable-domain
92,57742720,ORG-E04816A1BC6A,CUMMINS LTD,cummins.com,single-verified-uncontested-resolvable-domain
93,57833635,ORG-0AA8939609DE,BRAMSDON & CHILDS,bramsdonandchilds.com,single-verified-uncontested-resolvable-domain
94,57880099,ORG-1F2C47DCE8E3,ZEO FINANCE LTD,zeomortgages.co.uk,single-verified-uncontested-resolvable-domain
95,58617118,ORG-F31ED976462A,WATCHFINDER.CO.UK,watchfinder.co.uk,single-verified-uncontested-resolvable-domain
96,58790930,ORG-DC2B1102808C,FUW Insurance Services Limited,fuwinsurance.co.uk,single-verified-uncontested-resolvable-domain
97,59026288,ORG-A649D3E0B3C6,CHAUNCY & CO. SOLICITORS,chauncy.co.uk,single-verified-uncontested-resolvable-domain
98,59070183,ORG-591100FBDDD3,SARASIN ASSET MANAGEMENT LIMITED,sarasinassetmanagement.com,single-verified-uncontested-resolvable-domain
99,59506583,ORG-85090AC544BD,ADLEX SOLICITORS,adlexsolicitors.co.uk,single-verified-uncontested-resolvable-domain
100,59659140,ORG-42340EC4286A,Connect2Law Ltd Trading as Muve and Nova,muve.me.uk,single-verified-uncontested-resolvable-domain
101,59760224,ORG-6B4B987F5739,ROBERTO BARBALICH,barbalich-law.eu,single-verified-uncontested-resolvable-domain
102,59779687,ORG-D7F36EB12252,YouLend Limited,youlend.com,single-verified-uncontested-resolvable-domain
103,59910977,ORG-AD828EDF83C9,SHEARMAN BOWEN LIMITED,shearmanbowen.co.uk,single-verified-uncontested-resolvable-domain
104,60166284,ORG-6CA5C9661811,Morgans Insurance Limited,morgansinsurance.co.uk,single-verified-uncontested-resolvable-domain
105,60187145,ORG-7DBBA5FB8D9A,DBW INVESTMENTS (10) LIMITED,developmentbank.wales,single-verified-uncontested-resolvable-domain
106,60292267,ORG-DD618007D252,LWM10 LTD,lakesidefs.co.uk,single-verified-uncontested-resolvable-domain
107,60293103,ORG-15570C89DDF5,PETER EDWARDS LAW LIMITED,peteredwardslaw.com,single-verified-uncontested-resolvable-domain
108,60854610,ORG-93EF61AF708B,Heritable Limited,heritableltd.co.uk,single-verified-uncontested-resolvable-domain
109,60897047,ORG-F5C2BCEB52A1,L L BARROWCLIFF LTD,llbsolicitors.co.uk,single-verified-uncontested-resolvable-domain
110,61278402,ORG-EC82EAC46CA3,MY HEALTH XTRAS LTD,myhealthxtras.co.uk,single-verified-uncontested-resolvable-domain
111,61542112,ORG-F3C8F7F528D6,Axis Professional Services Limited,axisprofessional.co.uk,single-verified-uncontested-resolvable-domain
112,61895325,ORG-4349A029276D,USS Investment Management Limited,uss.co.uk,single-verified-uncontested-resolvable-domain
113,62573390,ORG-35F9548A1477,GROVE SOLICITORS,grovesolicitors.co.uk,single-verified-uncontested-resolvable-domain
114,62958712,ORG-54A078F91238,THE NATIONAL MAGAZINE COMPANY LIMITED,natmags.co.uk,single-verified-uncontested-resolvable-domain
115,63844984,ORG-B973CA411ECA,Universum Wealth Ltd,universumwealth.com,single-verified-uncontested-resolvable-domain
116,64037068,ORG-DE168884D0A5,G.L.M. Finance Limited,glmfinance.co.uk,single-verified-uncontested-resolvable-domain
117,64557009,ORG-AD995500AF10,K.G.J. INSURANCE BROKERS (STOURBRIDGE) LIMITED,kgjinsurance.com,single-verified-uncontested-resolvable-domain
118,65114869,ORG-3134BCD0E06D,KHATTAK SOLICITORS LTD,devpl10.getspace.us,single-verified-uncontested-resolvable-domain
119,65200931,ORG-84A0FAC88B6F,KILLIMORE FINANCIAL MANAGEMENT LTD,killimore.co.uk,single-verified-uncontested-resolvable-domain
120,65304131,ORG-D3354F687D85,IPS LAW LLP,ipslaw.co.uk,single-verified-uncontested-resolvable-domain
121,65663824,ORG-0432872BCF23,Chan Neill Solicitors LLP,cnsolicitors.com,single-verified-uncontested-resolvable-domain
122,67022292,ORG-318EB0BD8890,Barnes Law Associates Ltd,barnes-law.co.uk,single-verified-uncontested-resolvable-domain
123,68854116,ORG-15C18B8B5F2C,MOWLL LIMITED,mowll.co.uk,single-verified-uncontested-resolvable-domain
124,68979448,ORG-188225CCC586,ALISON FIELDEN & CO,alisonfielden.co.uk,single-verified-uncontested-resolvable-domain
125,69027684,ORG-622DEB0E29F9,Aly Young Law Limited,aly-young-law.co.uk,single-verified-uncontested-resolvable-domain
126,69210376,ORG-55A649178138,Clerville Investment Management LLP,clerville.co.uk,single-verified-uncontested-resolvable-domain
127,69318277,ORG-F5BE6E75B4E3,BELLEVUE LAW LIMITED,bellevuelaw.co.uk,single-verified-uncontested-resolvable-domain
128,69688424,ORG-A86ECC7AF055,INFRASTRUCTURE UK (HM TREASURY),partnershipsuk.org.uk,single-verified-uncontested-resolvable-domain
129,69806785,ORG-6D95F7F3831E,BISHOP AKERS LLP,bishopakers.co.uk,single-verified-uncontested-resolvable-domain
130,70049902,ORG-E26D61B21A91,Ludice Wealth Management Ltd,ludice.co.uk,single-verified-uncontested-resolvable-domain
131,70151864,ORG-C29E29DF0C4A,HANOVER BOND LAW LIMITED,hanoverbondlaw.com,single-verified-uncontested-resolvable-domain
132,70522142,ORG-3B43A5E498B4,Vision Integrated Exchange LTD,viexs.co.uk,single-verified-uncontested-resolvable-domain
133,70765500,ORG-674FB0C34F7F,Temple Solicitors Ltd,thetemplesolicitors.com,single-verified-uncontested-resolvable-domain
134,70840222,ORG-798A98556FDD,GOWLINGS SOLICITORS LIMITED,gowlingslaw.co.uk,single-verified-uncontested-resolvable-domain
135,70845701,ORG-5B2B6431A816,"LCM COMMODITIES, UK LLP",lcmcommodities.com,single-verified-uncontested-resolvable-domain
136,70853222,ORG-792C534B9206,Graham Dawson & Co,grahamdawsonandco.co.uk,single-verified-uncontested-resolvable-domain
137,71037554,ORG-1D6B08D25B00,Allia C&C Ltd,alliacc.com,single-verified-uncontested-resolvable-domain
138,71308685,ORG-F733D12BD56D,PRIVILEGE SOLICITORS LTD,privilegesolicitors.com,single-verified-uncontested-resolvable-domain
139,71342084,ORG-D8E0016D5207,RICHMOND CHAMBERS LLP,immigrationbarrister.co.uk,single-verified-uncontested-resolvable-domain
140,71458705,ORG-F345E1D67264,MFS INTERNATIONAL (U.K.) LIMITED,mfs.com,single-verified-uncontested-resolvable-domain
141,71608752,ORG-6CED468028FB,RAVI SOL LTD,ravisolicitors.co.uk,single-verified-uncontested-resolvable-domain
142,71719804,ORG-E3D17F667867,Boston Partners (UK) Limited,bostonpartners.co.uk,single-verified-uncontested-resolvable-domain
143,71735426,ORG-363F35EA2F4F,Empowered Legal Resolutions LTD,empoweredlegalresolutions.com,single-verified-uncontested-resolvable-domain
144,71873162,ORG-78E1462264D7,Xenia Broking Limited,xeniabroking.com,single-verified-uncontested-resolvable-domain
145,71988463,ORG-01E10ACBAE57,STANLEY GOLDMAN SOLICITORS,stanleygoldman.co.uk,single-verified-uncontested-resolvable-domain
146,72045176,ORG-A9CF4337E39A,Advanta Risk Ltd,advantarisk.co.uk,single-verified-uncontested-resolvable-domain
147,72346313,ORG-86A7ECBE1083,MORGAN PHELPS LIMITED,morganphelps.com,single-verified-uncontested-resolvable-domain
148,72610341,ORG-22AC9373BD52,Haris Law Limited,harislaw.co.uk,single-verified-uncontested-resolvable-domain
149,72687172,ORG-A5957EA3AC2D,AACNI (ENGLAND) LIMITED,aacni.com,single-verified-uncontested-resolvable-domain
150,72831996,ORG-CDD963A83492,Torch Financial Planning Limited,torchfp.co.uk,single-verified-uncontested-resolvable-domain
151,73102402,ORG-165C1D47E770,PONTEFRACT PARK RACE COMPANY LIMITED,pontefract-races.co.uk,single-verified-uncontested-resolvable-domain
152,73473376,ORG-3A476418FC85,Full Circle Capital Services Limited,fullcircle.capital,single-verified-uncontested-resolvable-domain
153,73549622,ORG-DF1CC379E159,TELEFONICA UK LIMITED,o2.co.uk,single-verified-uncontested-resolvable-domain
154,73976383,ORG-67A2C47D66FE,Mitsubishi Corporation International (Europe) plc,mitsubicrp.com,single-verified-uncontested-resolvable-domain
155,74982684,ORG-14176833839A,Teviot Partners LLP,teviotpartners.com,single-verified-uncontested-resolvable-domain
156,75010071,ORG-A7C12BB5C034,SETH O & CO SOLICITORS,sethoandcosolicitors.co.uk,single-verified-uncontested-resolvable-domain
157,75619780,ORG-9B641A5D2015,HQ LAW LIMITED,hqlaw.ltd,single-verified-uncontested-resolvable-domain
158,75692914,ORG-72C13C0306C5,MEDICAL NEGLIGENCE TEAM LAW LIMITED,medicalnegligenceteam.com,single-verified-uncontested-resolvable-domain
159,76209103,ORG-FE940B7FA324,BULL & CO. SOLICITORS LLP,bullandcosolicitors.com,single-verified-uncontested-resolvable-domain
160,76365529,ORG-3C910EFBCF36,LINPAC GROUP LTD,linpac.com,single-verified-uncontested-resolvable-domain
161,76510048,ORG-ADFB48B8FD30,Visionary Markets Ltd,visionarymarkets.com,single-verified-uncontested-resolvable-domain
162,76627124,ORG-F7A1F3DB3036,FAIRSQUARE LLP,fairsquarellp.com,single-verified-uncontested-resolvable-domain
163,76665650,ORG-8FC35EC29DB4,Dowgate Capital Limited,dowgatecapital.co.uk,single-verified-uncontested-resolvable-domain
164,76918698,ORG-B3DBB014E29D,JRW RISK SOLUTIONS LIMITED,jrwrisksolutions.co.uk,single-verified-uncontested-resolvable-domain
165,76937331,ORG-26B78CDFA21E,Calon Law Limited,calonlaw.com,single-verified-uncontested-resolvable-domain
166,77093427,ORG-8E0F8416AD64,S & V SOLICITORS,svsolicitors.co.uk,single-verified-uncontested-resolvable-domain
167,77371891,ORG-809E3D8CA31D,CAPTIOS LIMITED,focusinsurance.co.uk,single-verified-uncontested-resolvable-domain
168,77437428,ORG-FA92BBA8D9F0,BURROUGHS,burroughs-solicitors.co.uk,single-verified-uncontested-resolvable-domain
169,77775791,ORG-9C60F488B434,KGW FAMILY LAW,kgwfamilylaw.com,single-verified-uncontested-resolvable-domain
170,78006390,ORG-3E38E0446A63,Insuremore Ltd,insuremoreltd.com,single-verified-uncontested-resolvable-domain
171,78104588,ORG-4DA50ADF0C00,CAPA Law Ltd,capalaw.co.uk,single-verified-uncontested-resolvable-domain
172,78742205,ORG-E32FA1C870F5,TRINITY LAWYERS,trinitylawyers.com,single-verified-uncontested-resolvable-domain
173,78906048,ORG-9FD09A563BA4,CAMBRIDGE FAMILY LAW PRACTICE LLP,cflp.co.uk,single-verified-uncontested-resolvable-domain
174,78913008,ORG-D48E107AFD95,DEVON WASTE MANAGEMENT LIMITED,devonwaste.co.uk,single-verified-uncontested-resolvable-domain
175,79089918,ORG-6E44A56CADA8,Humber Law Limited,humber.law,single-verified-uncontested-resolvable-domain
176,79172798,ORG-90A038922F79,Prime Legal Group Ltd,primelegalsolicitors.co.uk,single-verified-uncontested-resolvable-domain
177,79345442,ORG-C161A29E2ACF,Confidential Solutions Limited,confidentialsolutions.com,single-verified-uncontested-resolvable-domain
178,79451639,ORG-4B3A80CE80D9,ROBERT LIZAR SOLICITORS LIMITED,robertlizar.com,single-verified-uncontested-resolvable-domain
179,79700028,ORG-D2DBE0700642,HILLBRIDGES,hillbridges.com,single-verified-uncontested-resolvable-domain
180,80012623,ORG-A34C59199B89,ESSEX COUNTY COUNCIL,elslegal.org.uk,single-verified-uncontested-resolvable-domain
181,80013763,ORG-B315034C0CB5,AG Corporate Law Limited,agcorporatelaw.com,single-verified-uncontested-resolvable-domain
182,80340567,ORG-878726E9A547,MOSS & COLEMAN,mossandcoleman.co.uk,single-verified-uncontested-resolvable-domain
183,80444269,ORG-BA2CB3CDB1E3,Opulenze Capital Limited,opulenzecapital.com,single-verified-uncontested-resolvable-domain
184,80515415,ORG-2107B20B8863,BT TELECOMMUNICATIONS PLC (GLOBAL SERVICES),btplc.com,single-verified-uncontested-resolvable-domain
185,80804488,ORG-0617C7F0A9F8,SHERREY AND ASSOCIATES SOLICITORS,sherreysolicitors.com,single-verified-uncontested-resolvable-domain
186,80904690,ORG-B20CE80A948F,LAUREL & CO,laurel-law.com,single-verified-uncontested-resolvable-domain
187,81297120,ORG-8EEFF94DDDDE,Collins & Hoy Solicitors,collinshoy.com,single-verified-uncontested-resolvable-domain
188,81943219,ORG-E0325D6B7975,MCWILLIAM IFS LTD,mcwilliamifs.co.uk,single-verified-uncontested-resolvable-domain
189,82295449,ORG-99E9F5D640CA,Lex Vindico Group Ltd,lexvindicogroup.com,single-verified-uncontested-resolvable-domain
190,82554291,ORG-8C86211F79C9,IBBOTSON BRADY SOLICITORS LIMITED,ibbotsonbrady.co.uk,single-verified-uncontested-resolvable-domain
191,82998617,ORG-EC23326D3530,NORTHUMBRIAN WATER LIMITED,nwl.co.uk,single-verified-uncontested-resolvable-domain
192,83833031,ORG-9AC3514CF307,Henry Davies Wealth Management Ltd,henrydavieswm.co.uk,single-verified-uncontested-resolvable-domain
193,83897583,ORG-62ACC51867A6,EVEREST LAW SOLICITORS LIMITED,everestlawsolicitors.co.uk,single-verified-uncontested-resolvable-domain
194,83965000,ORG-C35572201B7C,REISS EDWARDS LTD,reissedwards.co.uk,single-verified-uncontested-resolvable-domain
195,84118345,ORG-D67914C7AD9B,FERNANDES VAZ,visasandworkpermits.uk.com,single-verified-uncontested-resolvable-domain
196,84475593,ORG-9C565BD109B3,Homekey Mortgage Solutions Ltd,homekeymortgages.co.uk,single-verified-uncontested-resolvable-domain
197,84945605,ORG-F42E613BC089,2020 Home Loans Limited,theselectpartnership.co.uk,single-verified-uncontested-resolvable-domain
198,84947290,ORG-812E05145AB8,Flex Mortgages Limited,flexlimited.co.uk,single-verified-uncontested-resolvable-domain
199,85324600,ORG-B764C4F3B146,ARQuant Management Limited,arquant.co.uk,single-verified-uncontested-resolvable-domain
200,85363646,ORG-FFF702AC4BAB,DONALDSON WEST LLP,donaldsonwest.co.uk,single-verified-uncontested-resolvable-domain
201,85489442,ORG-0AA29D9EAE6E,United In Defence Ltd,unitedindefence.co.uk,single-verified-uncontested-resolvable-domain
202,85705275,ORG-479420A5A96C,McDermott Will & Schulte UK LLP,mcdermottlaw.com,single-verified-uncontested-resolvable-domain
203,86038821,ORG-826CE060CC1F,HOWARD ROSEN SOLICITORS,legalease.ch,single-verified-uncontested-resolvable-domain
204,86399911,ORG-31639F1904D5,Reliance Insurance Agency Limited,relianceinsurancebrokers.com,single-verified-uncontested-resolvable-domain
205,86642065,ORG-F733CDDD2038,HOLLINGWORTH BISSELL,hblaw.co.uk,single-verified-uncontested-resolvable-domain
206,87270065,ORG-6611C4F49F85,BECKETT & CO,beckettandco.co.uk,single-verified-uncontested-resolvable-domain
207,87287319,ORG-2C050A730C47,CERTUS SOLICITORS LLP,certuslegal.co.uk,single-verified-uncontested-resolvable-domain
208,87346978,ORG-254DC3038824,LISA TONGE SOLICITORS,lisatongesolicitors.com,single-verified-uncontested-resolvable-domain
209,87534412,ORG-BC3F6389C720,Mason Baggott and Garton Solicitors Limited,lawlincs.co.uk,single-verified-uncontested-resolvable-domain
210,87556331,ORG-8F5ACF33022F,MARGRAVES LTD,margraves.co.uk,single-verified-uncontested-resolvable-domain
211,87615071,ORG-83BC2D77CB0B,MARNIX EUROPE LIMITED,marnix-europe.com,single-verified-uncontested-resolvable-domain
212,87703837,ORG-F6EC0833D55A,OXLEY & COWARD SOLICITORS LLP,oxcow.co.uk,single-verified-uncontested-resolvable-domain
213,87850442,ORG-790232F7B569,NEWCASTLE UNDER LYME BOROUGH COUNCIL,newcastle-staffs.gov.uk,single-verified-uncontested-resolvable-domain
214,87900057,ORG-9090B63E9FC1,Theisen Securities Limited,theisensecurities.com,single-verified-uncontested-resolvable-domain
215,88154744,ORG-65522D63361C,TILLY BAILEY & IRVINE LLP,tbilaw.co.uk,single-verified-uncontested-resolvable-domain
216,88402868,ORG-3E7EE7537032,Resolution Property FM Limited,resolutionproperty.com,single-verified-uncontested-resolvable-domain
217,88430036,ORG-DF68506B1A54,CHAUHAN SOLICITORS LTD.,chauhansolicitors.com,single-verified-uncontested-resolvable-domain
218,88755000,ORG-07C5389109E4,Prudent Planning (Scotland) Limited,themortgagespecialist.co.uk,single-verified-uncontested-resolvable-domain
219,88859700,ORG-B07BFB892FF4,KELLYS SOLICITORS (BRIGHTON) LTD,kellys-solicitors.co.uk,single-verified-uncontested-resolvable-domain
